dt,open,close,mn,mx,delta
01/06/2019,79.0283,80.2133,79.0283,80.2405,1.499462851
01/07/2019,80.2717,80.6008,80.262,80.6008,0.409982597
01/08/2019,80.6339,82.2852,80.5915,82.2852,2.047897968
01/09/2019,82.3196,82.4835,82.3196,82.6151,0.199102036
01/10/2019,82.5158,82.0975,82.0975,82.5257,-0.506933218
01/11/2019,82.0043,82.1528,81.9083,82.1793,0.181088065
01/12/2019,82.1612,82.303,82.1612,82.5536,0.172587547
01/01/2020,82.2533,81.8338,81.6211,82.2533,-0.510009933
01/02/2020,81.8637,81.9089,81.8637,82.0237,0.055213727
01/03/2020,81.9112,82.1362,81.9112,82.2593,0.274687711
01/04/2020,82.1182,82.9395,82.0284,82.9395,1.000143695
01/05/2020,82.9034,83.6051,82.9034,83.6051,0.846406782
01/06/2020,83.6972,84.8994,83.6972,84.8994,1.436368242
01/07/2020,84.9029,85.1538,84.8531,85.199,0.295514052
01/08/2020,85.1915,86.9543,85.1915,86.9543,2.069220521
01/09/2020,87.028,87.1076,87.028,87.2131,0.091464816
01/10/2020,87.1146,86.6171,86.6171,87.1254,-0.571086821
01/11/2020,86.5863,86.8019,86.5101,86.8019,0.249000131
01/12/2020,86.8533,86.8689,86.8429,87.1482,0.017961321
01/01/2021,86.7528,86.4465,86.2225,86.7528,-0.353072177
01/02/2021,86.5133,86.4939,86.4681,86.6252,-0.022424298
01/03/2021,86.5533,86.7313,86.5533,86.8575,0.205653626
01/04/2021,86.7255,87.4572,86.6293,87.4907,0.843696491
01/05/2021,87.5022,88.2398,87.5022,88.2398,0.842950234
01/06/2021,88.3161,89.4886,88.3161,89.4886,1.327617501
01/07/2021,89.5052,89.7545,89.4424,89.7675,0.278531303
01/08/2021,89.772,91.5736,89.772,91.5736,2.006861828
01/09/2021,91.6099,91.7121,91.6099,91.8072,0.111559995
01/10/2021,91.6413,91.2103,91.2103,91.7235,-0.470311966
01/11/2021,91.2367,91.4276,91.1147,91.4276,0.209235976
01/12/2021,91.4403,91.4067,91.4067,91.7474,-0.036745286
01/01/2022,91.3716,91.0869,90.8309,91.3716,-0.311584781
01/02/2022,91.1389,91.1368,91.0701,91.2229,-0.002304175
01/03/2022,91.1804,91.3391,91.1556,91.4514,0.174050563
01/04/2022,91.2553,92.0554,91.2348,92.0554,0.876770993
01/05/2022,92.0813,92.8594,92.0813,92.8594,0.845014134
01/06/2022,92.8967,94.0903,92.8967,94.0903,1.284868031
01/07/2022,94.0296,94.3357,94.0296,94.3392,0.325535789
01/08/2022,94.4103,96.1541,94.4103,96.1541,1.847044231
01/09/2022,96.2043,96.239,96.1723,96.4127,0.036069074
01/10/2022,96.2486,95.8613,95.8371,96.322,-0.402395463
01/11/2022,95.8721,96.0148,95.7105,96.0148,0.148844137
01/12/2022,96.0401,96.025,95.9882,96.3533,-0.015722599
01/01/2023,95.9706,95.712,95.4274,95.9724,-0.269457521
01/02/2023,95.726,95.7646,95.6663,95.8219,0.040323423
01/03/2023,95.7692,95.8693,95.7326,96.0568,0.104522122
01/04/2023,95.8657,96.6338,95.8336,96.6338,0.801225047
01/05/2023,96.718,97.4408,96.718,97.4408,0.747327281
01/06/2023,97.4902,98.6143,97.4641,98.6726,1.153038972
01/07/2023,98.6346,98.9748,98.6336,98.9748,0.344909393
01/08/2023,99.0336,100.747,99.0336,100.747,1.730119879
01/09/2023,100.721,100.846,100.721,101.015,0.124105201
01/10/2023,100.836,100.497,100.466,100.92,-0.336189456
01/11/2023,100.469,100.615,100.309,100.615,0.145318456
01/12/2023,100.562,100.623,100.562,100.953,0.060659096
01/01/2024,100.627,100.299,100.022,100.627,-0.325956254
01/02/2024,100.326,100.371,100.264,100.418,0.044853777
01/03/2024,100.312,100.457,100.312,100.659,0.144549007
01/04/2024,100.492,101.339,100.429,101.339,0.842853162
01/05/2024,101.368,101.547,101.367,101.579,0.176584326
